Category,Firm,Target Role/Team,Source/ATS,Fit Tier,Status,Contact,Applied Date,Notes
AI/ML Engineer,OpenAI,Applied AI / Solutions eng intern,Custom (openai.com/careers),A,Not started,,,
AI/ML Engineer,Anthropic,Applied AI / Product eng,Greenhouse,A,Not started,,,Builds on Claude already
AI/ML Engineer,Google DeepMind,Applied / Product AI,Custom,A,Not started,,,
AI/ML Engineer,Scale AI,AI / Forward-deployed eng,Greenhouse,A,Not started,,,
AI/ML Engineer,Perplexity,Product / AI eng intern,Ashby,A,Not started,,,
AI/ML Engineer,Cohere,Applied AI,Ashby/Lever,A,Not started,,,
AI/ML Engineer,Databricks,GenAI / Mosaic,Greenhouse,A,Not started,,,
AI/ML Engineer,Mistral,Applied,Ashby,A,Not started,,,US roles
AI/ML Engineer,Harvey,Applied AI (legal LLM),Ashby,A,Not started,,,Ties to NYL/legal angle
AI/ML Engineer,Glean,Enterprise RAG eng,Greenhouse,A,Not started,,,
AI/ML Engineer,Sierra,Agent eng,Ashby,A,Not started,,,
AI/ML Engineer,Decagon,Customer-facing AI agents,Ashby,A,Not started,,,Maps to NYL CSR agent
AI/ML Engineer,Notion,Applied AI,Greenhouse,A,Not started,,,
AI/ML Engineer,Ramp,Applied AI,Ashby,A,Not started,,,
AI/ML Engineer,Vercel,AI eng (v0),Greenhouse,A,Not started,,,
AI/ML Engineer,LangChain/LlamaIndex,RAG/agent tooling,Various,A,Not started,,,
AI/ML Engineer,Zilliz/Pinecone/Weaviate,Applied/DevRel eng,Various,A,Not started,,,Uses Milvus
AI/ML Engineer,Microsoft,SWE-AI (M365 Copilot),Custom,A,Not started,,,
AI/ML Engineer,Meta,GenAI eng intern,Custom,A,Not started,,,
AI/ML Engineer,Hugging Face,Applied,Custom,A,Not started,,,
AI Infra/Platform,OpenAI,Infra / scaling,Custom,A,Not started,,,
AI Infra/Platform,Anthropic,Inference / serving infra,Greenhouse,A,Not started,,,
AI Infra/Platform,Together AI,Inference infra,Ashby,A,Not started,,,
AI Infra/Platform,Fireworks AI,Inference infra,Ashby,A,Not started,,,
AI Infra/Platform,Modal,Compute platform eng,Ashby,A,Not started,,,
AI Infra/Platform,Anyscale,Distributed systems (Ray),Greenhouse,A,Not started,,,
AI Infra/Platform,Baseten,Model serving,Ashby,A,Not started,,,
AI Infra/Platform,Databricks,Platform/runtime,Greenhouse,A,Not started,,,
AI Infra/Platform,NVIDIA,Inference / CUDA,Custom,A,Not started,,,Direct CUDA hook
AI Infra/Platform,CoreWeave,GPU cloud infra,Greenhouse,A,Not started,,,
AI Infra/Platform,Lambda Labs,ML infra,Greenhouse,A,Not started,,,
AI Infra/Platform,Modular,Compiler/runtime (Mojo),Greenhouse,A,Not started,,,
AI Infra/Platform,Snowflake,Data platform,Custom,A,Not started,,,
AI Infra/Platform,Confluent,Streaming infra,Greenhouse,A,Not started,,,
AI Infra/Platform,Temporal,Workflow orchestration,Greenhouse,A,Not started,,,
AI Infra/Platform,AWS,Infra SWE (SageMaker/Bedrock),Custom,A,Not started,,,
AI Infra/Platform,Google Cloud,Platform (Vertex),Custom,A,Not started,,,
AI Infra/Platform,Ramp/Notion,Platform eng,Ashby/Greenhouse,A,Not started,,,
AI Infra/Platform,Chroma,Vector DB infra,Ashby,A,Not started,,,
AI Infra/Platform,vLLM/SGLang ecosystem,Inference eng,Various,A,Not started,,,
Founding Engineer,YC companies,Founding engineer,Work at a Startup,A,Not started,,,Filter current+recent batches
Founding Engineer,a16z/Sequoia/General Catalyst,Seed/Series-A AI cos,VC job boards,A,Not started,,,
Founding Engineer,Harvey,Early eng,Ashby,A,Not started,,,
Founding Engineer,Decagon,Founding/early eng,Ashby,A,Not started,,,
Founding Engineer,Sierra,Early eng,Ashby,A,Not started,,,
Founding Engineer,Cognition,Eng (Devin),Custom,A,Not started,,,
Founding Engineer,Lovable/Bolt,Eng,Various,A,Not started,,,
Founding Engineer,Mercor,Eng,Ashby,A,Not started,,,
Founding Engineer,Clay,Eng,Ashby,A,Not started,,,
Founding Engineer,Hebbia,Applied/founding eng,Ashby,A,Not started,,,Finance docs
Founding Engineer,Abridge/OpenEvidence,Healthcare AI early eng,Various,A,Not started,,,
Founding Engineer,EvenUp,Legal AI eng,Ashby,A,Not started,,,
Founding Engineer,Baseten,Early eng,Ashby,A,Not started,,,
Founding Engineer,Julius/Hex,Eng,Various,A,Not started,,,
Founding Engineer,Browser-use / agent startups,Eng,Various,A,Not started,,,
Founding Engineer,Suno/ElevenLabs,Eng,Ashby,A,Not started,,,
Founding Engineer,Exa/Tavily,Search infra eng,Various,A,Not started,,,
Founding Engineer,Lykke-adjacent edtech,Eng,Various,A,Not started,,,Your domain
Founding Engineer,Rutgers/NJ founder network,Eng,Network,A,Not started,,,
Founding Engineer,AngelList,Founding engineer filter,Wellfound,A,Not started,,,
Quant Developer,Jane Street,SWE / Quant Trading intern,Custom,B,Not started,,,Opens earliest
Quant Developer,Citadel / Citadel Securities,SWE intern,Custom,B,Not started,,,
Quant Developer,Two Sigma,SWE / Quant intern,Custom,B,Not started,,,
Quant Developer,Hudson River Trading,Algo dev / Core dev,Greenhouse,B,Not started,,,
Quant Developer,Jump Trading,SWE,Custom,B,Not started,,,
Quant Developer,DE Shaw,Systems / SWE,Custom,B,Not started,,,
Quant Developer,Optiver,SWE,Custom,B,Not started,,,
Quant Developer,IMC Trading,SWE,Custom,B,Not started,,,
Quant Developer,DRW,SWE,Custom,B,Not started,,,
Quant Developer,Five Rings,SWE,Greenhouse,B,Not started,,,
Quant Developer,SIG,Quant dev,Custom,B,Not started,,,
Quant Developer,Akuna Capital,SWE,Custom,B,Not started,,,
Quant Developer,Point72 / Cubist,Eng / AI automation,Custom,B,Not started,,,
Quant Developer,Millennium,Platform eng,Custom,B,Not started,,,
Quant Developer,Balyasny (BAM),Eng / AI initiatives,Greenhouse,B,Not started,,,
Quant Developer,Tower Research / Old Mission,Core dev,Custom,B,Not started,,,
Quant Developer,PDT Partners,Eng,Greenhouse,B,Not started,,,
Quant Developer,Squarepoint,Dev,Custom,B,Not started,,,
Quant Developer,Virtu Financial,SWE,Custom,B,Not started,,,
Quant Developer,Goldman/Morgan Stanley Strats,Strats / Quant dev,Custom,B,Not started,,,
Computational Biology,Isomorphic Labs,ML for bio,Custom,B-niche,Not started,,,
Computational Biology,Recursion,Comp bio eng,Greenhouse,B-niche,Not started,,,
Computational Biology,Genentech,gRED Computational intern,Custom,B-niche,Not started,,,
Computational Biology,Insitro,ML/bio eng,Greenhouse,B-niche,Not started,,,
Computational Biology,Arc Institute,Research eng,Custom,B-niche,Not started,,,
Computational Biology,Calico,Comp bio,Custom,B-niche,Not started,,,
Computational Biology,Dyno Therapeutics,ML,Custom,B-niche,Not started,,,
Computational Biology,Generate Biomedicines,ML,Greenhouse,B-niche,Not started,,,
Computational Biology,EvolutionaryScale,Research eng,Ashby,B-niche,Not started,,,ESM
Computational Biology,Ginkgo Bioworks,Software / bioinfo,Greenhouse,B-niche,Not started,,,
Computational Biology,10x Genomics,Bioinfo eng,Greenhouse,B-niche,Not started,,,
Computational Biology,Illumina,Bioinfo,Custom,B-niche,Not started,,,
Computational Biology,Tempus,ML / genomics,Custom,B-niche,Not started,,,
Computational Biology,Flatiron Health,Data / ML,Greenhouse,B-niche,Not started,,,
Computational Biology,Broad Institute,Software / research eng,Custom,B-niche,Not started,,,
Computational Biology,CZ Biohub/Initiative,Eng,Custom,B-niche,Not started,,,
Computational Biology,NIH / Cold Spring Harbor,Research programs,Custom,B-niche,Not started,,,
Computational Biology,Memorial Sloan Kettering,Research eng,Custom,B-niche,Not started,,,
Computational Biology,Regeneron Genetics Center,Bioinfo,Custom,B-niche,Not started,,,
Computational Biology,BioNTech / Moderna,ML (Digital),Custom,B-niche,Not started,,,
Research Engineer,Google DeepMind,Research Eng intern,Custom,B,Not started,,,
Research Engineer,Anthropic,Research Eng / Resident,Greenhouse,B,Not started,,,
Research Engineer,OpenAI,Residency / RE,Custom,B,Not started,,,
Research Engineer,Meta FAIR,RE intern,Custom,B,Not started,,,
Research Engineer,Microsoft Research,RE intern,Custom,B,Not started,,,
Research Engineer,NVIDIA Research,RE (robotics/CUDA),Custom,B,Not started,,,Strong fit
Research Engineer,Allen Institute (AI2),RE / pre-doctoral,Custom,B,Not started,,,
Research Engineer,Apple MLR,RE,Custom,B,Not started,,,
Research Engineer,Toyota Research Institute,Robotics RE,Custom,B,Not started,,,TAMP/Isaac Sim
Research Engineer,Boston Dynamics AI Institute,Robotics RE,Custom,B,Not started,,,
Research Engineer,Physical Intelligence,Robotics RE,Ashby,B,Not started,,,
Research Engineer,Skild AI / Figure / 1X,Robot learning eng,Various,B,Not started,,,
Research Engineer,Waymo / Cruise,Planning / ML,Custom,B,Not started,,,
Research Engineer,Adept / Reka,RE,Various,B,Not started,,,
Research Engineer,Cohere For AI,Research scholar,Custom,B,Not started,,,
Research Engineer,EleutherAI,Open research,Community,B,Not started,,,
Research Engineer,IBM Research,RE,Custom,B,Not started,,,
Research Engineer,Amazon Science,Applied scientist intern,Custom,B,Not started,,,
Research Engineer,Sony AI / Bosch / Honda Research,RE,Custom,B,Not started,,,
Research Engineer,University lab pipelines,RA -> industry,Network,B,Not started,,,
Finance AI Automation,Goldman Sachs,Engineering / GS AI,Custom,B,Not started,,,NYL story is the asset
Finance AI Automation,JPMorgan,AI/ML eng (LLM Suite),Custom,B,Not started,,,
Finance AI Automation,Morgan Stanley,GenAI eng (AI @ MS),Custom,B,Not started,,,
Finance AI Automation,Citadel / Point72,AI automation eng,Custom,B,Not started,,,
Finance AI Automation,BlackRock,AI eng (Aladdin),Custom,B,Not started,,,
Finance AI Automation,Bridgewater,AI / automation,Custom,B,Not started,,,
Finance AI Automation,Two Sigma,Internal AI tooling,Custom,B,Not started,,,
Finance AI Automation,Capital One,ML / automation eng,Custom,B,Not started,,,
Finance AI Automation,American Express,AI eng,Custom,B,Not started,,,
Finance AI Automation,Bloomberg,AI / NLP eng,Custom,B,Not started,,,
Finance AI Automation,Hebbia,Finance-doc AI,Ashby,B,Not started,,,
Finance AI Automation,Rogo,Banker-workflow AI,Ashby,B,Not started,,,
Finance AI Automation,AlphaSense,Research-automation eng,Greenhouse,B,Not started,,,
Finance AI Automation,Brex / Ramp,Fintech AI,Ashby,B,Not started,,,
Finance AI Automation,Stripe,Applied ML,Greenhouse,B,Not started,,,
Finance AI Automation,Fidelity,AI Center of Excellence,Custom,B,Not started,,,
Finance AI Automation,Wells Fargo / BofA,AI/ML,Custom,B,Not started,,,
Finance AI Automation,S&P Global / Moody's,GenAI eng,Custom,B,Not started,,,
Finance AI Automation,Nasdaq / ICE,AI eng,Custom,B,Not started,,,
Finance AI Automation,Mastercard / Visa,AI eng,Custom,B,Not started,,,
Consulting AI,McKinsey QuantumBlack,AI eng / data scientist,Custom,B,Not started,,,RAIL + gov hook
Consulting AI,BCG X,AI eng / software,Custom,B,Not started,,,
Consulting AI,Bain (Vector / AI),AI eng,Custom,B,Not started,,,
Consulting AI,Deloitte AI Institute,AI eng,Custom,B,Not started,,,
Consulting AI,Accenture,AI eng (Gen AI / Song),Custom,B,Not started,,,
Consulting AI,Palantir,Forward-Deployed SWE,Custom,B,Not started,,,Strongest consulting fit
Consulting AI,EY,AI eng,Custom,B,Not started,,,
Consulting AI,PwC,GenAI eng,Custom,B,Not started,,,
Consulting AI,KPMG Lighthouse,AI eng,Custom,B,Not started,,,
Consulting AI,IBM Consulting,AI eng (watsonx),Custom,B,Not started,,,
Consulting AI,ZS Associates,AI / decision analytics,Custom,B,Not started,,,
Consulting AI,Slalom,AI eng,Custom,B,Not started,,,
Consulting AI,Booz Allen,AI eng (public-sector),Custom,B,Not started,,,Matches gov work
Consulting AI,Mathematica / RTI,Research / data,Custom,B,Not started,,,Econ-Labs analogue
Consulting AI,Gartner / Forrester,Analyst (less eng),Custom,B,Not started,,,
